report_date,cftc_contract_market_code,market_and_exchange_names,open_interest_contracts,managed_money_long_contracts,managed_money_short_contracts,managed_money_spread_contracts,contract_units_original,report_type,source_id
2009-09-01,073732,COCOA - ICE FUTURES U.S.,113879,38317,16866,2955,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-09-08,073732,COCOA - ICE FUTURES U.S.,117040,39846,16855,4089,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-09-15,073732,COCOA - ICE FUTURES U.S.,124688,43212,18396,4748,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-09-22,073732,COCOA - ICE FUTURES U.S.,123830,42772,18453,6138,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-09-29,073732,COCOA - ICE FUTURES U.S.,123289,43047,18400,6022,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-10-06,073732,COCOA - ICE FUTURES U.S.,128991,43658,18530,7210,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-10-13,073732,COCOA - ICE FUTURES U.S.,127976,40684,16625,8254,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-10-20,073732,COCOA - ICE FUTURES U.S.,134993,44049,18282,8527,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-10-27,073732,COCOA - ICE FUTURES U.S.,142494,49421,20679,8865,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-11-03,073732,COCOA - ICE FUTURES U.S.,146118,51641,18950,11642,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-11-09,073732,COCOA - ICE FUTURES U.S.,130680,46009,12560,8943,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-11-17,073732,COCOA - ICE FUTURES U.S.,121235,42079,11128,7009,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-11-24,073732,COCOA - ICE FUTURES U.S.,123135,44956,11240,6722,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-12-01,073732,COCOA - ICE FUTURES U.S.,126235,45591,9694,7459,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-12-08,073732,COCOA - ICE FUTURES U.S.,127861,46937,9257,7342,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-12-15,073732,COCOA - ICE FUTURES U.S.,129639,49125,9242,6558,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-12-22,073732,COCOA - ICE FUTURES U.S.,129980,46535,9002,9912,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2009-12-29,073732,COCOA - ICE FUTURES U.S.,129231,45875,8808,10049,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-01-05,073732,COCOA - ICE FUTURES U.S.,130348,43156,8920,12157,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-01-12,073732,COCOA - ICE FUTURES U.S.,132926,42812,10488,12665,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-01-19,073732,COCOA - ICE FUTURES U.S.,140693,47017,8846,14105,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-01-26,073732,COCOA - ICE FUTURES U.S.,144201,45569,4743,19503,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-02-02,073732,COCOA - ICE FUTURES U.S.,140446,43384,6528,18379,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-02-09,073732,COCOA - ICE FUTURES U.S.,129088,38154,9162,13570,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-02-16,073732,COCOA - ICE FUTURES U.S.,123259,35686,10883,13225,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-02-23,073732,COCOA - ICE FUTURES U.S.,121756,35213,10130,13273,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-03-02,073732,COCOA - ICE FUTURES U.S.,124942,36133,12398,13431,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-03-09,073732,COCOA - ICE FUTURES U.S.,127111,32994,15021,13329,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-03-16,073732,COCOA - ICE FUTURES U.S.,129335,34380,18527,12761,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-03-23,073732,COCOA - ICE FUTURES U.S.,131697,34320,17550,12443,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-03-30,073732,COCOA - ICE FUTURES U.S.,134310,34302,18298,12127,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-04-06,073732,COCOA - ICE FUTURES U.S.,138919,35153,18195,13604,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-04-13,073732,COCOA - ICE FUTURES U.S.,123908,36607,17987,9542,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-04-20,073732,COCOA - ICE FUTURES U.S.,123956,40701,18851,6404,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-04-27,073732,COCOA - ICE FUTURES U.S.,129760,45596,19070,6981,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-05-04,073732,COCOA - ICE FUTURES U.S.,131767,45546,16984,9041,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-05-11,073732,COCOA - ICE FUTURES U.S.,131080,40487,11305,10646,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-05-18,073732,COCOA - ICE FUTURES U.S.,127954,36251,13669,11416,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-05-25,073732,COCOA - ICE FUTURES U.S.,130900,37222,15648,10564,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-06-01,073732,COCOA - ICE FUTURES U.S.,127382,36004,14406,10904,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-06-08,073732,COCOA - ICE FUTURES U.S.,122786,30542,6536,12693,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-06-15,073732,COCOA - ICE FUTURES U.S.,115296,28617,6478,12311,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-06-22,073732,COCOA - ICE FUTURES U.S.,114918,29309,8198,11272,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-06-29,073732,COCOA - ICE FUTURES U.S.,118192,29817,7347,12193,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-07-06,073732,COCOA - ICE FUTURES U.S.,121721,31230,9523,12946,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-07-13,073732,COCOA - ICE FUTURES U.S.,123423,31291,11603,14354,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-07-20,073732,COCOA - ICE FUTURES U.S.,125927,32324,10705,14710,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-07-27,073732,COCOA - ICE FUTURES U.S.,125385,29259,12744,14038,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-08-03,073732,COCOA - ICE FUTURES U.S.,123629,29896,12054,13442,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-08-10,073732,COCOA - ICE FUTURES U.S.,121327,26267,14669,12503,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-08-17,073732,COCOA - ICE FUTURES U.S.,115333,24145,18278,11376,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-08-24,073732,COCOA - ICE FUTURES U.S.,114529,21849,21575,10835,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-08-31,073732,COCOA - ICE FUTURES U.S.,120254,21846,30027,11452,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-09-07,073732,COCOA - ICE FUTURES U.S.,124407,20330,35916,11728,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-09-14,073732,COCOA - ICE FUTURES U.S.,127970,18694,37948,10946,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-09-21,073732,COCOA - ICE FUTURES U.S.,127893,20051,38001,11026,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-09-28,073732,COCOA - ICE FUTURES U.S.,129657,20530,38099,11747,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-10-05,073732,COCOA - ICE FUTURES U.S.,136785,18963,37838,16727,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-10-12,073732,COCOA - ICE FUTURES U.S.,136896,18814,37079,13749,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-10-19,073732,COCOA - ICE FUTURES U.S.,140811,20669,37689,14286,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-10-26,073732,COCOA - ICE FUTURES U.S.,139337,20413,36080,13464,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-11-02,073732,COCOA - ICE FUTURES U.S.,146429,19033,35840,13187,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-11-09,073732,COCOA - ICE FUTURES U.S.,142604,21445,37943,11257,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-11-16,073732,COCOA - ICE FUTURES U.S.,134338,22452,38780,10212,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-11-23,073732,COCOA - ICE FUTURES U.S.,130412,24566,33018,10261,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-11-30,073732,COCOA - ICE FUTURES U.S.,131975,24220,34230,10156,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-12-07,073732,COCOA - ICE FUTURES U.S.,136077,30774,31336,10142,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-12-14,073732,COCOA - ICE FUTURES U.S.,135973,28866,27771,10655,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-12-21,073732,COCOA - ICE FUTURES U.S.,137878,29835,27772,10142,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2010-12-28,073732,COCOA - ICE FUTURES U.S.,139263,30454,27244,10296,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-01-04,073732,COCOA - ICE FUTURES U.S.,143807,32513,27424,10416,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-01-11,073732,COCOA - ICE FUTURES U.S.,145419,31184,28705,10722,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-01-18,073732,COCOA - ICE FUTURES U.S.,143808,32636,27438,10961,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-01-25,073732,COCOA - ICE FUTURES U.S.,151080,31550,20070,13492,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-02-01,073732,COCOA - ICE FUTURES U.S.,166379,35159,19527,18631,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-02-08,073732,COCOA - ICE FUTURES U.S.,161464,37390,18225,12007,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-02-15,073732,COCOA - ICE FUTURES U.S.,154865,39966,18475,10134,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-02-22,073732,COCOA - ICE FUTURES U.S.,154656,42417,18248,7080,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-03-01,073732,COCOA - ICE FUTURES U.S.,161861,45229,17926,9920,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-03-08,073732,COCOA - ICE FUTURES U.S.,167172,48871,19230,12624,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-03-15,073732,COCOA - ICE FUTURES U.S.,162365,44090,19428,12382,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-03-22,073732,COCOA - ICE FUTURES U.S.,160158,40445,21163,13412,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-03-29,073732,COCOA - ICE FUTURES U.S.,165028,40063,22367,13934,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-04-05,073732,COCOA - ICE FUTURES U.S.,167050,38771,24073,12313,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-04-12,073732,COCOA - ICE FUTURES U.S.,159819,38485,26261,8660,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-04-19,073732,COCOA - ICE FUTURES U.S.,153059,38728,27793,6242,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-04-26,073732,COCOA - ICE FUTURES U.S.,154607,39409,28031,6606,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-05-03,073732,COCOA - ICE FUTURES U.S.,158881,42525,28761,8922,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-05-10,073732,COCOA - ICE FUTURES U.S.,157658,39789,26017,10250,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-05-17,073732,COCOA - ICE FUTURES U.S.,155550,37785,29447,10323,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-05-24,073732,COCOA - ICE FUTURES U.S.,158250,35802,31532,11421,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-05-31,073732,COCOA - ICE FUTURES U.S.,162681,33381,31355,11857,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-06-07,073732,COCOA - ICE FUTURES U.S.,163361,30676,28590,14405,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-06-14,073732,COCOA - ICE FUTURES U.S.,163076,33839,28350,17900,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-06-21,073732,COCOA - ICE FUTURES U.S.,161630,34251,25192,17532,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-06-28,073732,COCOA - ICE FUTURES U.S.,161999,35640,22501,17232,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-07-05,073732,COCOA - ICE FUTURES U.S.,171344,40967,22302,17977,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-07-12,073732,COCOA - ICE FUTURES U.S.,171639,40991,20234,18137,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-07-19,073732,COCOA - ICE FUTURES U.S.,172311,40129,21471,19786,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-07-26,073732,COCOA - ICE FUTURES U.S.,174115,36401,21012,21089,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-08-02,073732,COCOA - ICE FUTURES U.S.,178418,33679,24228,21619,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
2011-08-09,073732,COCOA - ICE FUTURES U.S.,172222,33772,28142,18018,(CONTRACTS OF 10 METRIC TONS),FutOnly,cftc_cocoa_selected_history_2009_2026
