original_period_label,period,price_usd_per_kg,endpoint_uses,source_vintage_updated_date,availability_precision,original_series_name,original_unit,provider,underlying_series_attribution,source_id
2017M03,2017-03,2.06,2017-02-21@2017-02-24T20:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2017M06,2017-06,2.00,2017-02-21@2017-02-24T20:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2017M07,2017-07,1.99,2017-05-30@2017-06-02T19:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2017M10,2017-10,2.10,2017-05-30@2017-06-02T19:30:00Z:primary_exit_m_plus_4;2017-08-29@2017-09-01T19:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2018M01,2018-01,1.95,2017-08-29@2017-09-01T19:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2018M02,2018-02,2.12,2018-01-02@2018-01-05T20:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2018M05,2018-05,2.66,2018-01-02@2018-01-05T20:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2018M11,2018-11,2.19,2018-10-16@2018-10-19T19:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2019M02,2019-02,2.26,2018-10-16@2018-10-19T19:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2019M05,2019-05,2.32,2019-04-02@2019-04-05T19:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2019M08,2019-08,2.19,2019-04-02@2019-04-05T19:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2019M10,2019-10,2.44,2019-09-10@2019-09-13T19:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2020M01,2020-01,2.60,2019-09-10@2019-09-13T19:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2020M08,2020-08,2.35,2020-07-21@2020-07-24T19:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2020M11,2020-11,2.36,2020-07-21@2020-07-24T19:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2022M01,2022-01,2.47,2021-12-14@2021-12-17T20:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2022M04,2022-04,2.46,2021-12-14@2021-12-17T20:30:00Z:primary_exit_m_plus_4,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
2022M08,2022-08,2.32,2022-07-12@2022-07-15T19:30:00Z:primary_entry_m_plus_1,2026-08-04,date_only_exact_time_not_asserted,Cocoa,($/kg),World Bank Prospects Group,International Cocoa Organization (ICCO),world_bank_cocoa_event_endpoints_2026_08
